1,6500,8536,11181
2,6170,88,3759
3,3037,15967,9193
4,12289,3245,13213
5,19587,13688,16305
6,2374,7540,4460
7,8887,494,1657
8,16358,17051,10204
9,14207,14754,17823
10,15689,16027,4510
11,4537,9736,15061
12,9322,4797,5423
13,1461,9361,3033
14,19277,9961,3684
15,13050,12794,13424
16,4964,5232,5971
17,14795,1375,9002
18,16644,1981,4792
19,4010,1476,16235
20,118,6437,5145
21,16601,13573,5576
22,6602,6279,2137
23,6649,9503,8179
24,4250,18908,12088
25,37,16216,11958
26,653,17693,1468
27,15517,11755,19926
28,4289,14738,15290
29,676,14714,17519
30,16448,318,18229
31,14351,18260,7937
32,10815,11412,9547
33,78,17123,16552
34,292,11053,6103
35,15044,16951,4984
36,5933,19922,4305
37,4115,7571,8581
38,14656,2100,18396
39,11714,17380,7212
40,19089,14331,2196
41,11773,1977,504
42,4773,15859,15883
43,15033,8685,16494
44,2283,6734,2378
45,6266,6770,463
46,16724,5573,16368
47,14497,1110,1137
48,14425,7847,874
49,3495,7238,9024
50,5470,537,4458
51,16426,744,1825
52,10805,2530,2500
53,15204,6160,3535
54,3504,6600,11644
55,19490,7521,8138
56,1643,2344,17324
57,8476,6587,4645
58,106,4502,10855
59,1352,18643,14149
60,12504,1085,1353
61,1864,9604,19070
62,11481,5223,14097
63,13572,1109,850
64,1447,12623,1279
65,11947,7594,5455
66,15479,19745,3135
67,2181,5399,14894
68,1131,4241,11017
69,16267,2061,11554
70,11533,19638,3373
71,9024,9695,1516
72,3255,8100,4511
73,11177,14850,15640
74,4344,15873,1042
75,1999,11184,18075
76,5897,791,2122
77,7680,6809,9137
78,18493,1017,10190
79,6842,19289,7426
80,8964,9126,19338
81,199,13721,12156
82,15914,9421,14737
83,10204,18351,12561
84,6221,7871,8579
85,12333,1481,8501
86,13956,6093,9000
87,15121,10242,3158
88,11476,2276,6108
89,19078,10709,2050
90,7577,4086,474
91,10634,10334,4496
92,7585,12613,3172
93,5512,10061,10788
94,6698,5511,18966
95,3112,17111,4048
96,15788,13950,12653
97,8319,15616,1829
98,17526,190,6336
99,9596,180,14771
100,8746,1951,15389
101,4677,19589,7772
102,18297,6110,5444
103,2430,16428,5835
104,2484,3407,9874
105,10257,4808,7605
106,1430,1299,1400
107,12462,3511,541
108,4001,12751,8137
109,10744,396,3186
110,11211,556,14584
111,3352,1347,5105
112,7676,17974,7107
113,7203,10385,11305
114,6811,7349,2877
115,8998,6546,5104
116,3142,3038,7504
117,1345,2254,19665
118,2206,19220,1621
119,1023,424,7896
120,15814,3179,18551
121,10105,7869,7372
122,5919,6511,11442
123,1449,9200,323
124,2662,7355,6776
125,18497,11071,5228
126,13635,9748,8602
127,11948,4153,10142
128,5249,13507,5559
129,19074,7019,19838
130,5478,3557,2790
131,6836,12742,11073
132,94,15405,16890
133,775,15040,19491
134,4529,3525,5814
135,11304,7090,13485
136,1070,14099,18616
137,216,15234,2216
138,7561,8025,17624
139,7788,16744,16684
140,261,17602,16105
141,12925,8597,7522
142,4881,4942,6813
143,718,4344,19419
144,8342,2799,8849
145,10684,14053,5936
146,10565,3687,17471
147,7643,3807,12182
148,3947,17705,2081
149,4683,421,9042
150,6630,5738,15129
151,18964,6909,4241
152,7932,4302,840
153,11257,15310,2983
154,18378,11209,12705
155,5535,1334,5909
156,8354,12155,19947
157,4337,17248,815
158,19043,18252,61
159,7324,2648,19437
160,14850,2597,4028
161,4953,4425,7541
162,3492,18607,150
163,15338,2420,15333
164,7979,18032,15282
165,13046,15034,16524
166,972,10498,16484
167,18731,4040,3593
168,401,13055,958
169,7310,3799,157
170,15364,11415,8089
171,12985,5500,9434
172,11279,15613,2229
173,9978,16353,12784
174,255,6533,1740
175,470,14447,16686
176,16998,11033,19205
177,7228,8554,19743
178,10943,12940,745
179,18681,1323,10011
180,16129,15846,8534
181,14517,3483,11840
182,116,2621,10782
183,18027,14757,1711
184,4554,13680,5921
185,2904,1533,1110
186,12271,6890,11355
187,15761,1642,13382
188,8006,18309,9588
189,11956,7127,9991
190,483,1243,16016
191,4807,2750,19403
192,3558,7158,17447
193,15046,6459,1635
194,12374,14587,17503
195,5396,17950,6721
196,18366,7284,6626
197,10399,18234,10940
198,2671,15732,5565
199,12471,12683,8269
200,12068,16698,8930
201,11631,4962,6018
202,16568,10815,12759
203,12914,18569,15823
204,2320,12957,3331
205,4967,14637,9310
206,18376,2675,4202
207,8497,11616,13712
208,9200,10068,7093
209,14276,14240,8268
210,14593,15383,4872
211,13298,11987,18765
212,1151,16118,11211
213,14898,7630,17237
214,15210,1181,11142
215,18710,891,1558
216,10413,2914,6014
217,12104,7286,13667
218,19726,18190,8604
219,225,348,7336
220,11829,3623,14117
221,7171,17501,14872
222,124,1515,2746
223,14345,11326,2559
224,11818,9944,13630
225,2520,17657,12401
226,10313,10553,6854
227,4006,6433,17125
228,7768,1840,2014
229,4109,5373,5932
230,3802,976,8099
231,4882,1720,747
